month,Adrar,Ain Defla,Ain Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,Bordj Bou Arréridj,Bouira,Boumerdes,Chlef,Constantine,Djelfa,El Bayadh,El Oued,El Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,Msila,Naama,Oran,Ouargla,Oum El Bouaghi,Relizane,Saida,Setif,Sidi Bel Abbes,Skikda,Souk Ahras,Tamanrasset,Tebessa,Tiaret,Tindouf,Tipaza,Tissemsilt,Tizi Ouzou,Tlemcen
April,0.10551588833333332,0.10506123566666666,0.36528955999999996,0.16512433333333335,0.7213819,0.6705720999999999,0.6086649233333333,0.23754773666666665,0.12146039333333332,0.12296232333333335,0.36117135,0.6149661033333333,0.28060636333333333,0.50093094,0.15237404333333335,0.13772437333333332,0.33669678333333336,0.6901193499999999,0.24756123,0.6900724166666666,0.20795573,0.10972217499999999,0.09633462733333333,0.5114392833333333,0.39934666333333335,0.3678355933333333,0.2769166633333333,0.23005001,0.3276964666666667,0.5733368633333333,0.5907737166666667,0.14717562333333334,0.1535168,0.44076091,0.2895511233333334,0.12668319666666664,0.6846672033333334,0.10701203999999999,0.65556078,0.10166121,0.26002109333333334,0.43953954,0.42514716666666663,0.41676678666666667,0.20508335666666666,0.21234446333333334,0.6448582533333334,0.5929547666666667
August,0.10317019666666667,0.10206859333333333,0.20397759666666668,0.13891409,0.5822382933333333,0.47715453333333335,0.4511646733333334,0.17973755666666666,0.11710263333333333,0.11771207,0.17819745,0.4613588733333333,0.16770498,0.27796812,0.1331256133333333,0.12582758000000002,0.18964939,0.5054434833333333,0.16567676666666667,0.47676335666666664,0.16291849,0.11038427266666667,0.09663390333333333,0.23870535333333334,0.18320806999999997,0.22111817,0.16672329666666666,0.15169309333333333,0.19305333333333333,0.22908320333333335,0.41628181000000003,0.12971650666666668,0.13418272,0.29396089,0.19152181333333332,0.12492576166666668,0.5107517,0.107934535,0.34239638666666666,0.09950076666666667,0.18918544333333331,0.26642842333333333,0.24064938333333333,0.22893607666666668,0.15144056333333333,0.15595289666666667,0.24631941000000002,0.4090577266666666
February,0.105138582,0.10690846,0.36800838333333336,0.16648597333333334,0.6858971500000001,0.6784830033333334,0.611096,0.21070346333333334,0.12403449999999999,0.12807289666666666,0.24293760666666667,0.66991551,0.27915670333333337,0.48167288,0.14666886333333332,0.13233044000000002,0.3208883433333333,0.6940903866666667,0.22481375666666667,0.69154654,0.1945917266666667,0.10896474,0.09809662000000001,0.36283847333333336,0.31458981,0.34229771333333336,0.27280265,0.22650252666666668,0.30676522666666667,0.4353498833333333,0.6167772533333333,0.14329010333333334,0.15197539000000002,0.5183183766666667,0.24250579333333333,0.12601960666666667,0.67224825,0.10922464733333333,0.5997571733333333,0.10371302,0.26385759333333336,0.43908964666666667,0.4052646466666667,0.3284379433333333,0.16926634333333332,0.20415553,0.5024487333333334,0.6446684666666667
January,0.10463762666666666,0.10694296199999999,0.35335672,0.1614382533333333,0.69100957,0.6626351333333333,0.6127753866666666,0.20710713,0.12449797033333333,0.12884141666666668,0.21308982333333334,0.6689694433333333,0.23797062000000002,0.42545385,0.1429755633333333,0.13041379,0.2440638466666667,0.68510597,0.20108774333333335,0.68711184,0.18929599333333336,0.10819589666666667,0.09723240833333334,0.31623531666666665,0.23691964333333335,0.2883087,0.22160029,0.21085165666666664,0.28935311999999996,0.3609501033333333,0.5903929133333333,0.14059013,0.15213595666666668,0.5104379,0.21248763999999998,0.125201182,0.6776085900000001,0.10997649133333333,0.5550765866666666,0.104255515,0.27054894,0.41650431666666665,0.3414511966666667,0.30851272333333335,0.15792672333333332,0.18488097666666667,0.4122937666666666,0.6393410466666667
July,0.10375124333333334,0.102025478,0.21108091333333334,0.14103511999999999,0.6123503433333334,0.4968024166666667,0.47222934999999994,0.18859043333333333,0.11726006,0.11702457,0.18986117,0.47533497999999996,0.17258711000000002,0.28746263666666666,0.13394176,0.12669461,0.19286826666666668,0.5275463133333332,0.16851893333333334,0.5063445966666666,0.16716772333333332,0.11012191133333334,0.09401203000000001,0.2621200266666666,0.18810806666666666,0.22854998,0.17080855333333334,0.15532438,0.20009123666666664,0.24622055666666665,0.42923030333333334,0.13134631666666666,0.1385438,0.30119883666666664,0.1969330433333333,0.12460473500000001,0.53239132,0.10728381666666666,0.36891554,0.09921126333333334,0.20264957666666664,0.2796408633333333,0.24565402,0.2492876433333333,0.1572808933333333,0.15791585,0.27182379333333334,0.42998749333333336
June,0.10445182333333335,0.10259498133333333,0.24425496333333332,0.14859573,0.6769503,0.54913511,0.5287658999999999,0.21855918,0.11797131466666666,0.11923707866666666,0.25793989333333334,0.51124055,0.18945875666666667,0.3264236233333333,0.13771943333333334,0.12858033666666668,0.20528673666666666,0.5807163599999999,0.18126754,0.5736492966666666,0.19154585666666665,0.109920695,0.09396473833333334,0.35375316333333334,0.2138726333333333,0.24710680333333332,0.18308495333333333,0.17022715,0.22992104333333332,0.32704704,0.46318836,0.13377892,0.14955746,0.32787928666666666,0.21889773999999998,0.12483281733333333,0.59373043,0.10596040200000001,0.4592871566666667,0.09915998,0.24018713333333333,0.32241280333333333,0.27124436,0.32524543333333333,0.18775180666666666,0.1652095033333333,0.36705420333333333,0.4785803333333334
March,0.10549660799999999,0.10624398666666666,0.38521194999999997,0.16929062666666664,0.697906,0.6801290999999999,0.6123826,0.22073214666666666,0.12320853999999999,0.12486177133333333,0.28773294,0.6565711200000001,0.3073034333333333,0.5341571333333334,0.15206502,0.13632922666666666,0.38163131666666666,0.6957648633333333,0.25395971666666667,0.7006600466666667,0.19684266000000003,0.10946087199999999,0.09657084333333332,0.4330263833333334,0.4022347433333333,0.39437005999999997,0.3137507333333333,0.24257030999999998,0.3314012333333333,0.5292170166666667,0.6291767666666667,0.14806809,0.15303811333333334,0.49954365333333334,0.2774383733333334,0.1266484,0.6721482333333334,0.10815797866666667,0.63690269,0.10282625533333334,0.26020695666666666,0.45954632,0.45979799,0.36987727,0.17908387666666667,0.22358641333333332,0.5960131666666667,0.63131666
May,0.105082358,0.10371870700000001,0.31254426333333335,0.15811538666666666,0.7241432333333333,0.6212830166666666,0.5859196333333333,0.24643964,0.11941936133333335,0.12148414,0.3661484533333333,0.5635255166666667,0.23035189,0.41431023333333333,0.14501344666666668,0.1330362966666667,0.25170281,0.6463756333333334,0.21318118,0.64703305,0.21679039666666666,0.10970083666666668,0.09550033333333334,0.48305316000000004,0.29637297999999995,0.29729091,0.21921813333333331,0.20400096999999998,0.28504903666666664,0.47948771333333334,0.5242848233333334,0.13951929333333332,0.15594459666666668,0.37628733333333336,0.26118286,0.12564083,0.6602542833333334,0.105735585,0.5882292800000001,0.10003262,0.26668227666666666,0.3859485733333334,0.3387634466666667,0.41616227,0.22126393,0.18473741333333335,0.5404725233333333,0.5419583066666667
October,0.10282647833333332,0.10310903166666667,0.21358676333333335,0.15485504,0.6243411333333334,0.5132897,0.50393059,0.19830706333333334,0.11665584333333334,0.12164733500000001,0.20450842666666666,0.48577278,0.17549294000000001,0.2867752666666667,0.13796579666666667,0.12486366666666666,0.19651083666666666,0.5463580866666667,0.1683803,0.5244658333333333,0.1814932433333333,0.10805648166666666,0.09474059466666666,0.29302855333333333,0.18551753999999998,0.2331196866666667,0.17655885000000002,0.15991391333333335,0.21324018999999997,0.28828839666666667,0.4199464533333333,0.13371062,0.1545035233333333,0.3252586,0.1994161,0.12343240333333333,0.5671367466666667,0.10759140666666667,0.4261641733333333,0.10026760633333333,0.22842805333333335,0.30169473333333335,0.25384838,0.2785381866666667,0.16822253666666667,0.16044121,0.3085325933333333,0.4394738
September,0.10288613833333334,0.10252099533333332,0.20665699666666668,0.14205588,0.5953414666666667,0.48957150666666666,0.4719295666666667,0.18366333666666668,0.11681547333333332,0.11923999833333333,0.18284805,0.46709219333333335,0.16924586666666666,0.2787747166666667,0.13363339,0.12502883666666667,0.19506786333333334,0.51832195,0.16703534666666667,0.49103855,0.1675047066666667,0.10957525666666668,0.096147562,0.25442976,0.18579928999999998,0.22446855333333335,0.16882359666666666,0.15222218666666665,0.1993573266666667,0.24419125,0.4168015233333333,0.13062844333333334,0.13887900333333333,0.30549193,0.19531226,0.12461307666666666,0.5298979866666667,0.10794273,0.36694256999999997,0.10006828666666667,0.20175126333333335,0.2785792733333334,0.24410260000000003,0.24305030000000002,0.15481466666666668,0.15833731333333334,0.25782415666666664,0.41683926
